Season,Team,G#,Date,Home,Opp,W/L,Tm_Pts,Opp_Pts,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
2015,ATL,1,2015-06-05,0,NYL,L,73,82,24,67,.358,7,20,.350,18,22,.818,12,34,15,8,3,19,22,29,60,.483,3,15,.200,21,26,.808,4,32,16,13,4,15,20
2015,ATL,2,2015-06-07,1,CON,L,70,75,25,68,.368,3,16,.188,17,18,.944,17,51,13,4,5,25,20,28,71,.394,7,21,.333,12,19,.632,8,25,14,18,3,11,24
2015,ATL,3,2015-06-11,1,SAS,W,72,69,28,76,.368,3,13,.231,13,18,.722,20,41,12,10,5,15,25,23,62,.371,7,24,.292,16,18,.889,8,29,19,6,7,17,18
2015,ATL,4,2015-06-12,0,WAS,W,64,61,24,62,.387,7,18,.389,9,10,.900,8,34,15,10,1,16,16,23,63,.365,5,16,.313,10,12,.833,11,32,15,7,2,15,18
2015,ATL,5,2015-06-14,0,CON,L,64,82,26,64,.406,3,13,.231,9,12,.750,10,26,16,15,1,24,10,34,59,.576,9,17,.529,5,6,.833,6,26,17,13,0,23,16
2015,ATL,6,2015-06-16,1,IND,L,79,90,31,69,.449,4,14,.286,13,20,.650,10,28,18,10,4,17,26,30,60,.500,9,19,.474,21,31,.677,10,34,23,8,4,18,23
2015,ATL,7,2015-06-19,1,CHI,W,74,73,30,71,.423,1,9,.111,13,21,.619,10,38,21,10,8,17,26,22,62,.355,4,14,.286,25,28,.893,9,34,11,10,5,18,16
2015,ATL,8,2015-06-21,1,NYL,L,64,73,19,64,.297,5,21,.238,21,25,.840,13,35,15,13,2,18,27,25,60,.417,3,9,.333,20,25,.800,11,38,15,11,8,21,22
2015,ATL,9,2015-06-24,0,CHI,L,96,100,38,88,.432,6,19,.316,14,19,.737,15,42,27,9,7,13,30,30,72,.417,6,13,.462,34,36,.944,10,41,11,6,11,15,18
2015,ATL,10,2015-06-26,1,WAS,W,72,69,30,70,.429,3,7,.429,9,14,.643,15,34,17,12,2,17,20,26,57,.456,6,17,.353,11,14,.786,5,24,21,8,7,17,18
2015,ATL,11,2015-07-05,1,SEA,W,72,64,26,67,.388,3,13,.231,17,23,.739,6,36,16,9,2,12,17,23,59,.390,4,17,.235,14,16,.875,4,31,19,10,6,14,26
2015,ATL,12,2015-07-07,1,TUL,L,75,85,31,80,.388,1,9,.111,12,20,.600,19,48,19,12,2,17,28,25,63,.397,6,26,.231,29,36,.806,8,40,15,10,5,18,18
2015,ATL,13,2015-07-12,1,NYL,W,84,76,26,55,.473,6,15,.400,26,36,.722,9,30,22,7,5,15,27,25,60,.417,3,11,.273,23,34,.676,14,31,16,9,1,17,28
2015,ATL,14,2015-07-14,0,PHO,L,71,80,26,71,.366,13,26,.500,6,7,.857,7,31,17,5,4,14,21,26,57,.456,1,5,.200,27,30,.900,3,35,8,9,7,10,9
2015,ATL,15,2015-07-16,0,LAS,W,76,72,25,64,.391,3,14,.214,23,27,.852,11,31,12,7,8,15,21,27,62,.435,0,8,.000,18,20,.900,7,25,21,8,4,16,21
2015,ATL,16,2015-07-18,0,SEA,L,73,86,24,64,.375,5,18,.278,20,28,.714,13,32,9,10,6,19,25,33,58,.569,3,7,.429,17,23,.739,4,31,25,8,4,16,21
2015,ATL,17,2015-07-21,0,CHI,L,92,97,37,71,.521,6,11,.545,12,16,.750,7,25,20,9,8,14,23,32,65,.492,5,11,.455,28,32,.875,9,33,11,7,9,15,17
2015,ATL,18,2015-07-29,0,SAS,L,85,102,29,66,.439,3,13,.231,24,31,.774,9,29,13,9,5,13,27,35,65,.538,8,14,.571,24,32,.750,7,32,27,6,3,17,22
2015,ATL,19,2015-07-31,0,MIN,L,70,86,27,64,.422,3,13,.231,13,15,.867,6,37,20,7,3,19,22,33,77,.429,3,15,.200,17,23,.739,13,42,23,9,6,15,14
2015,ATL,20,2015-08-02,1,PHO,L,68,71,26,71,.366,7,17,.412,9,11,.818,6,33,16,8,4,12,27,21,57,.368,2,9,.222,27,31,.871,6,39,17,9,9,14,19
2015,ATL,21,2015-08-07,0,IND,L,77,106,24,61,.393,7,15,.467,22,26,.846,10,32,12,6,8,26,30,31,68,.456,4,14,.286,40,44,.909,10,33,16,14,5,10,23
2015,ATL,22,2015-08-09,0,TUL,W,98,90,34,67,.507,6,18,.333,24,30,.800,9,31,20,5,4,12,26,26,64,.406,8,22,.364,30,38,.789,9,26,17,9,4,9,23
2015,ATL,23,2015-08-14,1,MIN,L,82,84,30,78,.385,5,21,.238,17,19,.895,10,35,19,10,2,6,22,31,67,.463,5,18,.278,17,20,.850,7,36,23,3,7,14,18
2015,ATL,24,2015-08-16,1,CON,W,90,77,27,59,.458,5,11,.455,31,36,.861,10,29,16,11,2,12,15,27,68,.397,11,28,.393,12,14,.857,16,30,17,5,5,14,27
2015,ATL,25,2015-08-21,0,NYL,L,67,78,24,67,.358,4,14,.286,15,20,.750,10,28,9,12,1,13,12,30,64,.469,5,13,.385,13,15,.867,13,38,21,6,3,16,14
2015,ATL,26,2015-08-23,0,CON,W,102,92,40,67,.597,11,14,.786,11,11,1.000,8,30,25,8,1,15,19,34,70,.486,7,23,.304,17,23,.739,11,27,15,5,1,12,16
2015,ATL,27,2015-08-25,1,CON,W,71,57,26,66,.394,6,15,.400,13,16,.813,13,44,18,4,4,9,18,19,63,.302,7,25,.280,12,14,.857,10,30,14,4,6,12,18
2015,ATL,28,2015-08-28,0,IND,W,90,84,28,63,.444,3,14,.214,31,36,.861,9,30,9,11,2,14,28,27,59,.458,7,17,.412,23,25,.920,5,24,10,9,1,18,31
2015,ATL,29,2015-08-29,1,CHI,L,96,98,33,74,.446,2,14,.143,28,37,.757,15,33,11,7,5,6,20,37,70,.529,5,10,.500,19,26,.731,11,31,21,2,2,10,27
2015,ATL,30,2015-09-01,0,NYL,L,75,80,30,70,.429,4,18,.222,11,13,.846,7,32,14,9,1,15,26,26,70,.371,8,21,.381,20,26,.769,12,34,18,10,6,14,16
2015,ATL,31,2015-09-06,1,WAS,W,73,67,22,60,.367,4,14,.286,25,31,.806,9,36,12,12,2,15,13,29,68,.426,4,18,.222,5,6,.833,8,35,16,9,6,15,24
2015,ATL,32,2015-09-09,1,LAS,W,90,60,32,80,.400,7,22,.318,19,21,.905,19,54,23,12,3,16,16,25,67,.373,3,15,.200,7,17,.412,8,28,17,10,3,14,17
2015,ATL,33,2015-09-11,1,IND,L,67,75,26,71,.366,3,12,.250,12,16,.750,12,34,13,10,3,18,18,29,62,.468,4,16,.250,13,20,.650,10,34,20,12,4,19,20
2015,ATL,34,2015-09-13,0,WAS,W,73,71,26,65,.400,7,18,.389,14,20,.700,10,34,14,13,2,12,21,26,62,.419,6,16,.375,13,15,.867,10,31,17,5,2,16,20
2015,CHI,1,2015-06-05,1,IND,W,95,72,36,78,.462,1,7,.143,22,26,.846,15,44,22,14,9,11,22,26,66,.394,7,20,.350,13,23,.565,11,31,14,6,3,20,23
2015,CHI,2,2015-06-06,0,TUL,L,93,101,34,66,.515,5,17,.294,20,22,.909,8,28,13,8,9,15,24,34,70,.486,10,14,.714,23,27,.852,12,31,19,6,4,15,16
2015,CHI,3,2015-06-11,0,CON,L,65,67,25,69,.362,0,6,.000,15,18,.833,10,39,7,6,3,11,20,26,67,.388,3,11,.273,12,18,.667,9,35,11,5,5,10,13
2015,CHI,4,2015-06-14,0,IND,W,98,72,38,67,.567,5,10,.500,17,20,.850,7,46,19,7,11,15,26,23,73,.315,5,25,.200,21,32,.656,10,27,14,7,2,10,21
2015,CHI,5,2015-06-19,0,ATL,L,73,74,22,62,.355,4,14,.286,25,28,.893,9,34,11,10,5,18,16,30,71,.423,1,9,.111,13,21,.619,10,38,21,10,8,17,26
2015,CHI,6,2015-06-20,0,SAS,W,95,87,42,76,.553,5,15,.333,6,13,.462,8,38,17,12,5,12,16,32,80,.400,6,17,.353,17,18,.944,13,42,17,9,3,14,15
2015,CHI,7,2015-06-24,1,ATL,W,100,96,30,72,.417,6,13,.462,34,36,.944,10,41,11,6,11,15,18,38,88,.432,6,19,.316,14,19,.737,15,42,27,9,7,13,30
2015,CHI,8,2015-06-26,0,IND,W,83,77,32,77,.416,5,15,.333,14,17,.824,11,37,16,10,5,9,18,25,57,.439,7,14,.500,20,26,.769,6,37,13,7,3,18,24
2015,CHI,9,2015-06-28,0,WAS,L,71,86,31,65,.477,0,8,.000,9,10,.900,4,24,13,7,3,9,10,35,70,.500,10,19,.526,6,7,.857,9,37,24,6,1,10,15
2015,CHI,10,2015-06-30,1,NYL,L,81,89,28,71,.394,5,19,.263,20,23,.870,9,33,16,8,2,8,19,30,66,.455,9,19,.474,20,22,.909,9,40,26,7,4,12,18
2015,CHI,11,2015-07-02,0,CON,W,77,74,29,62,.468,5,14,.357,14,15,.933,8,28,9,9,2,15,13,30,74,.405,5,19,.263,9,10,.900,10,32,15,8,3,14,21
2015,CHI,12,2015-07-10,1,MIN,W,90,83,32,63,.508,5,13,.385,21,23,.913,5,34,20,6,11,10,19,34,78,.436,6,17,.353,9,13,.692,11,35,22,4,3,9,19
2015,CHI,13,2015-07-12,1,CON,W,96,76,38,67,.567,9,18,.500,11,13,.846,9,31,26,4,5,10,16,28,62,.452,6,20,.300,14,20,.700,4,19,21,9,2,9,15
2015,CHI,14,2015-07-15,1,WAS,W,85,57,38,83,.458,3,13,.231,6,8,.750,15,46,18,6,12,8,13,23,70,.329,2,10,.200,9,13,.692,9,32,14,4,5,14,15
2015,CHI,15,2015-07-17,0,MIN,L,66,84,26,73,.356,2,16,.125,12,15,.800,10,40,13,2,6,12,17,33,74,.446,7,13,.538,11,13,.846,9,44,17,5,6,10,17
2015,CHI,16,2015-07-19,1,SAS,W,93,82,40,74,.541,5,12,.417,8,11,.727,14,37,18,5,9,12,18,32,67,.478,6,13,.462,12,15,.800,5,21,17,4,3,9,10
2015,CHI,17,2015-07-21,1,ATL,W,97,92,32,65,.492,5,11,.455,28,32,.875,9,33,11,7,9,15,17,37,71,.521,6,11,.545,12,16,.750,7,25,20,9,8,14,23
2015,CHI,18,2015-07-28,0,PHO,L,87,89,33,86,.384,4,16,.250,17,20,.850,13,43,13,7,5,12,22,32,70,.457,4,13,.308,21,23,.913,7,35,15,9,10,13,23
2015,CHI,19,2015-07-31,1,LAS,L,77,88,28,67,.418,2,11,.182,19,21,.905,8,31,20,3,6,9,20,32,66,.485,3,9,.333,21,25,.840,7,33,17,7,7,6,15
2015,CHI,20,2015-08-02,1,WAS,W,71,68,27,69,.391,4,13,.308,13,15,.867,9,42,19,1,7,6,18,25,70,.357,5,16,.313,13,15,.867,10,38,17,4,10,5,17
2015,CHI,21,2015-08-04,1,IND,W,106,82,43,68,.632,5,10,.500,15,20,.750,7,39,28,10,13,14,23,26,75,.347,10,20,.500,20,25,.800,12,29,19,9,1,13,17
2015,CHI,22,2015-08-07,1,NYL,L,63,77,20,67,.299,2,11,.182,21,24,.875,5,33,6,6,7,13,20,27,65,.415,6,16,.375,17,24,.708,6,43,15,7,4,14,21
2015,CHI,23,2015-08-09,1,PHO,W,74,64,27,78,.346,7,19,.368,13,15,.867,13,43,13,4,5,7,17,25,66,.379,2,15,.133,12,16,.750,7,37,22,4,7,9,15
2015,CHI,24,2015-08-11,0,NYL,L,63,84,29,70,.414,2,8,.250,3,5,.600,8,31,14,6,3,17,15,33,65,.508,6,11,.545,12,14,.857,7,35,21,9,2,14,15
2015,CHI,25,2015-08-14,0,SEA,W,94,84,34,74,.459,2,8,.250,24,28,.857,14,38,14,5,7,6,19,29,60,.483,5,13,.385,21,28,.750,7,31,19,5,1,11,23
2015,CHI,26,2015-08-16,0,LAS,L,64,76,23,71,.324,5,14,.357,13,20,.650,14,41,11,7,3,9,18,30,62,.484,3,9,.333,13,16,.813,4,34,18,7,1,11,15
2015,CHI,27,2015-08-21,1,WAS,W,87,85,37,79,.468,4,13,.308,9,12,.750,15,45,21,6,6,15,14,37,73,.507,3,17,.176,8,10,.800,4,27,26,9,5,12,21
2015,CHI,28,2015-08-23,0,WAS,W,66,64,24,62,.387,2,8,.250,16,23,.696,10,33,6,4,10,15,24,22,66,.333,6,20,.300,14,18,.778,10,32,13,6,6,16,22
2015,CHI,29,2015-08-29,0,ATL,W,98,96,37,70,.529,5,10,.500,19,26,.731,11,31,21,2,2,10,27,33,74,.446,2,14,.143,28,37,.757,15,33,11,7,5,6,20
2015,CHI,30,2015-08-30,1,CON,L,68,72,27,72,.375,1,8,.125,13,18,.722,7,33,19,6,8,9,22,26,61,.426,4,16,.250,16,24,.667,9,38,17,6,7,15,21
2015,CHI,31,2015-09-03,0,NYL,W,82,60,29,67,.433,9,15,.600,15,16,.938,10,38,16,8,9,9,18,23,66,.348,0,7,.000,14,21,.667,11,36,12,6,4,11,14
2015,CHI,32,2015-09-06,1,SEA,W,93,65,38,72,.528,4,13,.308,13,14,.929,11,39,22,15,2,12,15,22,56,.393,6,14,.429,15,18,.833,5,26,16,7,2,21,12
2015,CHI,33,2015-09-11,1,TUL,W,92,71,35,72,.486,7,16,.438,15,21,.714,10,36,23,8,7,7,19,25,64,.391,4,16,.250,17,23,.739,13,36,12,3,5,15,19
