Season,Team,G#,Date,Home,Opp,W/L,Tm_Pts,Opp_Pts,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
2025,ATL,1,2025-05-16,0,WAS,L,90,94,30,74,0.405,12,36,0.333,18,27,0.667,15,37,24,4,2,14,22,31,61,0.508,9,18,0.5,23,31,0.742,5,26,18,7,4,7,25
2025,ATL,2,2025-05-20,0,IND,W,91,90,29,68,0.426,8,30,0.267,25,32,0.781,12,37,19,7,5,11,22,33,68,0.485,8,17,0.471,16,26,0.615,8,32,18,3,3,14,19
2025,ATL,3,2025-05-22,1,IND,L,76,81,24,67,0.358,10,29,0.345,18,23,0.783,6,37,14,4,3,12,21,33,74,0.446,7,23,0.304,8,15,0.533,7,41,21,4,3,13,25
2025,ATL,4,2025-05-24,1,DAL,W,83,75,29,68,0.426,9,24,0.375,16,21,0.762,11,42,23,6,7,13,13,30,82,0.366,5,23,0.217,10,14,0.714,11,38,17,9,3,8,18
2025,ATL,5,2025-05-25,1,CON,W,79,55,29,71,0.408,10,35,0.286,11,14,0.786,12,52,20,4,5,14,14,21,67,0.313,4,15,0.267,9,14,0.643,6,34,14,4,3,9,21
2025,ATL,6,2025-05-27,0,LAS,W,88,82,30,64,0.469,11,30,0.367,17,17,1.0,5,32,26,9,6,16,18,30,67,0.448,8,19,0.421,14,17,0.824,8,28,23,12,1,13,19
2025,ATL,7,2025-05-30,0,SEA,W,94,87,34,76,0.447,9,31,0.29,17,23,0.739,13,35,18,5,7,11,18,34,67,0.507,3,11,0.273,16,20,0.8,7,33,17,7,1,14,22
2025,ATL,8,2025-06-06,0,CON,L,76,84,28,68,0.412,8,27,0.296,12,17,0.706,7,29,19,5,6,12,17,33,66,0.5,3,15,0.2,15,19,0.789,5,27,17,9,3,11,15
2025,ATL,9,2025-06-10,1,IND,W,77,58,31,66,0.47,5,22,0.227,10,15,0.667,10,44,21,7,4,12,22,21,58,0.362,5,24,0.208,11,18,0.611,5,27,13,5,3,11,16
2025,ATL,10,2025-06-13,1,CHI,W,88,70,32,70,0.457,12,37,0.324,12,17,0.706,12,39,21,5,6,12,18,28,68,0.412,6,18,0.333,8,15,0.533,10,36,20,6,3,12,13
2025,ATL,11,2025-06-15,0,WAS,W,89,56,31,70,0.443,18,42,0.429,9,13,0.692,7,41,24,8,2,6,19,18,61,0.295,3,17,0.176,17,23,0.739,8,35,12,5,2,13,14
2025,ATL,12,2025-06-17,0,NYL,L,81,86,29,67,0.433,12,28,0.429,11,11,1.0,7,31,23,7,7,12,17,31,71,0.437,7,22,0.318,17,20,0.85,9,37,19,8,3,12,15
